[2022-08-22 22:49:18] Node Add(9)
[2022-08-22 22:49:18] Node SetValue(9): 1
[2022-08-22 22:49:18] Configure DeletionPolicy node
[2022-08-22 22:49:18] Set account manager DeletionPolicy
[2022-08-22 22:49:18] Node Add(2)
[2022-08-22 22:49:18] Node SetValue(2): TRUE
[2022-08-22 22:49:18] Configure SetEduPolicies node
[2022-08-22 22:49:18] Configured 3 group policies
[2022-08-22 22:49:18] Node GetValue(9): 1
[2022-08-22 22:49:18] Node GetValue(2): TRUE
[2022-08-22 22:49:19] Node GetValue(9): 1
[2022-08-22 22:49:19] Node GetValue(2): TRUE
[2022-08-22 22:49:20] Node GetValue(9): 1
[2022-08-22 22:49:20] Node GetValue(2): TRUE
[2022-08-22 22:51:02] Node GetValue(9): 1
[2022-08-22 22:51:02] Node GetValue(2): TRUE
[2022-08-22 22:51:03] Node GetValue(9): 1
[2022-08-22 22:51:03] Node GetValue(2): TRUE
[2022-08-22 22:51:05] Node GetValue(9): 1
[2022-08-22 22:51:05] Node GetValue(2): TRUE
[2022-08-22 22:51:06] Node GetValue(9): 1
[2022-08-22 22:51:06] Node GetValue(2): TRUE
[2022-08-22 22:54:03] Node GetValue(9): 1
[2022-08-22 22:54:03] Node GetValue(2): TRUE
[2022-08-22 22:54:04] Node GetValue(9): 1
[2022-08-22 22:54:04] Node GetValue(2): TRUE
[2022-08-22 22:54:06] Node GetValue(9): 1
[2022-08-22 22:54:06] Node GetValue(2): TRUE
[2022-08-22 22:54:07] Node GetValue(9): 1
[2022-08-22 22:54:07] Node GetValue(2): TRUE
[2022-08-22 22:57:04] Node GetValue(9): 1
[2022-08-22 22:57:04] Node GetValue(2): TRUE
[2022-08-22 22:57:04] Node GetValue(9): 1
[2022-08-22 22:57:04] Node GetValue(2): TRUE
[2022-08-22 22:57:07] Node GetValue(9): 1
[2022-08-22 22:57:07] Node GetValue(2): TRUE
[2022-08-22 22:57:08] Node GetValue(9): 1
[2022-08-22 22:57:08] Node GetValue(2): TRUE
[2022-08-22 23:00:03] Node GetValue(9): 1
[2022-08-22 23:00:03] Node GetValue(2): TRUE
[2022-08-22 23:00:04] Node GetValue(9): 1
[2022-08-22 23:00:04] Node GetValue(2): TRUE
[2022-08-22 23:00:07] Node GetValue(9): 1
[2022-08-22 23:00:07] Node GetValue(2): TRUE
[2022-08-22 23:00:07] Node GetValue(9): 1
[2022-08-22 23:00:07] Node GetValue(2): TRUE
[2022-08-22 23:03:03] Node GetValue(9): 1
[2022-08-22 23:03:03] Node GetValue(2): TRUE
[2022-08-22 23:03:04] Node GetValue(9): 1
[2022-08-22 23:03:04] Node GetValue(2): TRUE
[2022-08-22 23:03:07] Node GetValue(9): 1
[2022-08-22 23:03:07] Node GetValue(2): TRUE
[2022-08-22 23:03:08] Node GetValue(9): 1
[2022-08-22 23:03:08] Node GetValue(2): TRUE
[2022-08-22 23:06:02] Node GetValue(9): 1
[2022-08-22 23:06:02] Node GetValue(2): TRUE
[2022-08-22 23:06:03] Node GetValue(9): 1
[2022-08-22 23:06:03] Node GetValue(2): TRUE
[2022-08-22 23:06:06] Node GetValue(9): 1
[2022-08-22 23:06:06] Node GetValue(2): TRUE
[2022-08-22 23:06:07] Node GetValue(9): 1
[2022-08-22 23:06:07] Node GetValue(2): TRUE
[2022-08-22 23:21:03] Node GetValue(9): 1
[2022-08-22 23:21:03] Node GetValue(2): TRUE
[2022-08-22 23:21:04] Node GetValue(9): 1
[2022-08-22 23:21:04] Node GetValue(2): TRUE
